goodsID,goodsName,shopName,shopID,sales,price,comments
41250796051,泊海情野生深海鱼海参斑2.5-3斤/条 冰岛冷冻海鲜冰鲜石斑鱼,泊海情旗舰店,1869544996,0,105.00,20
541241988444,龙胆石斑鱼 鲜活1.3-1.5斤野生生猛海鲜 珍珠斑 龙胆鱼 大石斑鱼,鲜玛特旗舰店,2766569983,0,93.00,0
542952135196,太平洋老虎斑石斑鱼500-600g/条&times;2条 海鲜礼盒装送粉丝扇贝,悦胜旗舰店,2495963388,0,228.00,2
44897167044,【肴易食】印度进口野生青石斑鱼1000g约6-8条 海鲜水产冻石斑鱼,肴易食旗舰店,689640323,7,43.00,90
543367546435,GUOLIAN 微冻石斑鱼 去鳞去内脏去腮 冷冻石斑鱼600g,GUOLIAN官方旗舰店,2346658779,0,109.00,0
45720950612,悦胜 太平洋冰鲜老虎斑石斑鱼500-600g/条冷冻水产海鲜,悦胜旗舰店,2495963388,2,98.00,22
43180775539,【2条装】每日活杀 鲜活青石斑鱼每条1-1.2斤活杀发货顺丰包邮,环球鲜生旗舰店,2087410179,0,128.00,12
546560900898,【逸淳】东南亚鲜活笋壳鱼1-1.3斤呆子鱼大头鱼 野生水产沙塘鳢鱼,逸淳旗舰店,3166459579,4,158.40,1
541221468800,[北京可闪送]鲜活珍珠龙胆石斑鱼约750g/条 鲜活水产海鲜石斑鱼,华澄食品旗舰店,1733458269,1,78.00,1
41657448013,每日活杀 鲜活石斑鱼每条1-1.2斤活杀发货 鲜活水产海鲜,环球鲜生旗舰店,2087410179,0,58.00,51
544872369346,疍家海珍 石斑鱼 海鲜活野生现捞石班鱼海南三亚特产顺丰航空800g,疍家海珍旗舰店,3033200926,45,138.00,21
524112279082,富临美达-新西兰进口 野生红鲈鱼(红斑鱼) 0.7-0.9kg/2条,富临美达食品旗舰店,1699232443,0,58.00,0
43209291084,东星斑鱼650g 进口海鲜水产菲律宾野生红石斑鱼新鲜活冷冻海鱼类,皇港世家旗舰店,2113397184,0,288.00,0
546259343906,玮世 野生石斑鱼 青斑鱼鲜活 深海海捕海鲜新鲜1000克/条包邮顺丰,玮世旗舰店,3000032262,0,168.00,
544516430552,金丝斑,深海800米旗舰店,3023168933,0,45.00,
525465870388,【尊尊】海鲜冻品加拿大深海野生红石斑鱼鱼头200-300G,尊尊旗舰店,2525881433,0,18.00,
546919162905,野生海鲜新鲜海参斑鱼吃海参的鱼美容鱼6斤起拍10斤多省包邮,聚亿鲜旗舰店,3110386439,0,14.90,
547738143427,650-700g/条 老虎斑鲜活野生海鲜石斑鱼龙胆鱼清斑鱼活体水产鱼类,鲜玛特旗舰店,2766569983,0,148.00,
